filename,extracted_text,invoice_number,total_amount,error
2074104174.tif,"Gicsrna.cowe. PHILIP
cee comonarnt
[arrears Fearn
10-3-96 J
tives RETTIG SEE
Evelyn Lynn Campaign
824 Peninsula Drive (009-060-451-00146-0370
‘Ormond Beach, FL, 32176 Go
TFTA | SPLARATON FOR PATENT swine aI BST

 

Political Contribution-Campaign

 

 

 

 

 

 

 

 

San ETE TS ETON EC RECRED
RETURN TO: KANE (01 focrarrier ‘uLoMGRLGOR
Tumer, it Affhire (14th Floor)
Fexson ron neauest .
CCOUNTING USE ONLY

 

‘compatey_____“oas-conPatues;000-ANAGEMENT D10:NCORPORATED)

  

\Voucten ree _ (ites: 20.753 GM; 40M; 5OPS EV. 7H.A) YOUCHERIMVOICE DATE

 

 

 

 

 

 

ACT PAVE 0000.

 

= umeoot coneiccr ot

    
 

   

 

autre ee
once RECEIVED
~ Oct 23: 1996
CORPORATE AI
_ em commer — Bu0GETSa CONTPELS

lune o0t conraceror
osc»

 

 

asset, ~
esc»",,,
0000173220.tif,"‘MAIL ROUTING SLIP

 

 

225000258

a",,,
0060046962.tif,"GZ Ry
Sk tnsrican Ieleoce Company

  

 

 

 

   
      
  

 

EXTRA COPY

coleman
casey

ge 7.
R. BL

 

  

 

 

 

  

 

 

 

 

 

 

 

 

Rigo leksure
URL rhe aveCENeS oar BOP. Pachiceio, >
OO eieatweNt ATTENTION OF: DRCHACE GEER NOT)
f PURCHASE ORDER NOVA 1797
DATE gan, iv, 2°
oO REQ. NO.
é s
P| colaen belt Hfg. Conpany 4""
P) op. o. prawor 2332 P
{| Lurham, North Carolina 27702 7
EB] htt uw. AL. Selvin T
E °
Lo -
~~ Bet! le
auantity | CODE NO. DESCRIPTION PRICE

 

miehik

 

Yo cover the cost of one (1) printing plate for
the overprantany of “avast® registration
tradesarh, Bram label with d@vice.

 

 

 

 

Lept. of :ifg. Plate Changes

ACCOUNTING CHARGE NO.

 

430.09
Iipprox

 

 

STATE SALES TAX NOT 10 BE CHARGED-SEE OUR

Please contoct. — E*

‘on any questions regording this Purchase Order.

'D EXEMPTION CERTIFICATE
Domect pavuent PERMIT

TDW your rites
QatTAcHED

3. T. Coleran

By,",,,
87147931_87147932.tif,"HUNTINGDON RESEARCH CENTRE 11a
‘ARC Huntingdon « Cambs « PEIB GES» England
Tels Huntingdon 480 9041 «Telex: 32100
Fox: Huntingdon (0480) 890688 G2 & Gp
INVOICE son (0880) Gra

Attention Dr, Thomas A. Vollmuth,

Lorillard Research Center,
P.0. Box 21688,

 

 

No. 68105
Greensboro,
N.C. 27420, sam
vIsiA. AT ego 425500072
pow 30,10,87
TO PROFESSIONAL FEES: pase var VAT
RATE

 

quotati 45549
‘Order No, 096

EVALUATION OF EFFECTS ON THE CARDIOVASCULBR
SYSTEM AND ON RESPIRATION IN THE
ANAESTHETISED DOG,

| —,
Charges on initiation ( 5 compounds) $10,000.00

636, Bi, 5179, B80 8144

poke}

 

@
ASD — _o/ a
HO Npenwrssge— 5
Dept. $700 8

Act sinh 8

BLA 1/13, LEA 1/14, LUA 1/15 LUA 1/16 Lua 1/17
2721 2001",son,,
502197662.tif,"2 penn =
410 EAST 62nd STREET, NEW YORK, N.Y. 10021 SAmPLt OROER NUMBER
212-391-7700 ena
wooRtss —— ATE SHIPPED [SPECIAL INSTRUCTIONS
ance area}
roy : L- ONS yoltow
Oconee
7
eS
( ee Sort
we 5
Sample ‘Sample Description Recommended Price
70% PROICTONOL ""C' QOUMARTN HEPLACI™L W303 8-105 qn’ U.25/0 i
wen 200 ke choses fa) Th care
SPL & NMOTRICIAL VIAM FIAVY: 1-15, 581. ByenIe amy | £1.00/3% 4s

199 Fe chewing | 469 Tb cou:

 

  

 

MOMANL, & ARTUPICTNG PICK RASPBERK"" s0O/ is

Wek 4,070 oY Th eve
ohare

PUMIANT, SUVCL PRUDIT PLAVOR L=15,7 Deiter S72 dn
370 ky Cusine | 40% Lo aan
tehacce

$2.75/1> in

VCURAL & AAVIPICIAL RUDD FLRVOR .° 47,026
. 400 Yb dev

RASTA 4 SESLAL BIG FLAVOR Wr 7, 617 S8.00/1h an

Qe Ys Aan

 

 

OR 3, root 7 of in
. wodine J oa

   

 

 

 

 

 

 

 

 

“SINCERELY,

 

PLANT AND BUBJECT TO REVIEW 45 DAYS FROM DATE INDICATED ABOVE.

 

 

PRICES INDICATED ARE F.0.8,, VENDOR’

 

      
      
   

   
 

7994 6Lz0S

 

PACKING SUP",,,
2063576176.tif,"VOUCHER: PHILIP MORRIS USA

 

 

 

 

 

 

 

VOUCHER DATE: 4-20-93,
PLEASE READ INSTRUCTIONS.
ON PAGE 2.
PAYEE: _A. Wiltshire Greenwood, Jt. SPECIAL INSTRUCTIONS: PLEASE RETURN.
1006 Sharon Lane TO: JOY BUGG, R&D, A2
Richmond, VA_29229-6529
COST CENTER

EXPLANATION OF PAYMENT. TOBE CHARGED $ AMOUNT

Document conversion including reformatting for clarity, non- lo50-4R1-472 $420.00

scientfic/engineering edits and furnishing laser-printed hard copies
and fully camera-ready version diskettes.

 

 

 

 

 

 

 

 

PREPARED BY: doy J. Bugg CHECK DATE DUE: 1-26-93

LOCATION: R&D-A2___ Extension: 4619 APPROVED? Wel SZ

 

 

ACCTG. AUDIT:

FOR ACCOUNTING USE ONLY
VENDOR:

INVOICE NO.:

INVOICE AMOUNT:

INVOICE DATE:

ACTION:

P/O NBR (Q);

DUE DATE (Q):

CHECK DESCRIPTION ():

9LT9LSE90Z

ACCTG. APPROVAL",NO,,
512982282_512982287.tif,". U_@CRIPTO/TOKAT

—.

RANCHO QUCAHONDN, GA
91730

(714) 987-9428
BAIEOO, 160 02655

BILL TO; 270034
Tp 3 REYNOLDS ToB 60. *

ATTN? TOBACCO ACCOUNTS PAYABLE
P.O BOX 2959
WINSTON-BALEN

L NC 27102

 

zzz eezts

 

 

 

 

 

 

 

 

CUSTOMER FILE COPY",,,
83553645.tif,"pacinc nomnwest 10736

Seate, Wa Beto!

HAGENS & BERMAN,
ACTS BE ssomnan os
ov owe nw
01/06/1998 $2,321.33

ew Two Thousand Three Hundred Twenty One and 33/100 Dollars

TOME. Marten Walsh Cherer LTD
Deposition Central Booking
29 Linden Way
Send Marsh
Ripley
Surrey, GU23 6LW

 

GOTIASL

 

 

“OAOT3G"" HE2SCORORU: = = 200 RAL ETH

sens @ BERMAN, PS
Marten Walsh Cherer 01/06/1998 page 1 10736
Invoice No. Inv. Date Amount
01/06/1998 1210 2,321.33

123097
‘COURT REPORTERS
Inv, 19210 and Inv. 19215

001129 10 Tobacco Litigati

NONI

 

   

- 2
w
a
a
ow
a
=
a
ONoNBG@OTLABL
$2,321.33
creme ono Go BERR 5 won AL 822 ers 98
dee",No,,
80703047.tif,"fl 8} 030 80703047
rv 0) “TWNIDRIO
iON! “ONISILYFAGY HOOGLNO Af! qj 2 a
YL Au saurmenoeo
(1S eamiatieeoa o
CON! ‘DNISILUZAGY HOOGLNO SNITION = Lina
onisn v eaten aevne
: [NWRHONS. Og ics Ov e=T ‘BYTUE
ka pherkaen (£979 sbeaa00 “peoy SanqsuopeTs ozct
na |*pw Sx2TARTON /PY WITATTAN O/S TH'P* — PATE OITeG S/M
povseees | na 3 foTtuoabuyfisen ""asm 'onuoay e3oxed dans 7 ECE S65T
yee surgaving mvsoe “715
' a (ana) spuesayatow - cuvTTTuOT
womens — asi _
Laveen re ae GBAV1d510 ONISUMARY
LEP-HO, TS/TE72T oy 8/1/27 WOHS G3OIAOd S30IAUIS ONISLUSAGY HOS
| soz 6TOOT AN ‘XIX MON
| enuoay 4a3ta 999
e7pen suo 30 3no
Te6t /TT “2ed + our ‘seoTAseS ETPEH PILTTTIOT

 

| “3OIOANI
SIMs 40 1413034
Noan and ‘SNYaL

 

 

 

   

“9'0 ‘NOLONIHSYM
“DNISILUZAGY HOOGLNO

""ONI

p>

ee",,,
0060052800.tif,"GELCO

CORRESPONDENCE ADDRESS
Payment Systems, Inc.

7201 OFMS LANE

zona, one 38499-2901

REMITTANCE ADDRESS: PHONE: (812) 832-3500

NW 9108,
P.O. BOX 1450
MINNEAPOLIS, MINNESOTA 55485-0450

STATEMENT ACCOUNT
~] DATE NUMBER

AMERICAN TOBACCO

BRAD HAMMOND 1/3/92, 8513

SIX STAMFORD FORUM

STAMFORD cr 06904

DATE REFERENCE ORIGINAL AMOUNT DUE DATE CURRENT = PAST DUE

“7.82
0

    
  
  
 

 

   

""42/02/91 FINANCE CHG 11202 7.82 12/02/91
1/16/92 INVOICE K12910472 4B.60 2/15/92

oPeeed Brwreoud aes

 

 

TOTAL
CURRENT 1+ 30 DAYS 1 60 DAYS OVER 60 DAYS ACCOUNT BALANCE
48.60 7.82  elscazer ed

 

 

 

 

 

z e+ STATEMENT OF ACCOUNT ***",K12910472,,
2028719701_2028719702.tif,"RW ZIEGLER saw uaa

ony ees

 

 

1635085085
AUTOROYTE ROT BAUDOUT

c7pney L EYNOTTEN. 5d org oman,

TEL! = 11087786.682 - : 116/24/70/0320 7129
ELEX [169100 7+ + ae oem

sELEF QX1087/86.66.60

   

12/10/92

8VBA C.R.C. CONTRACT RESEARCH At
I
ho 435085085 FFOLLAAN, -101

woe {;8 1932 ST-BTEVENS-WOLUWE

OBA C-R-C. CONTRACT. ST-STEVENS-woLUWE —~<S: J -
MBH INBIFO KOELN 90 ""1 .

 

soya BALANCES vo

TSPIECES

 

an Ber

   

ere ete!

PRISE EN CHARGE ET ENREGISTREMENT
FORMALITES DE SORTIE. VERIFICATION ET SOINS
DOCUMENT T2 SIMPLIFIE

FRATS POUR OBLIG-ADHIN.& TENUE DU REPERTOIRE
CORRESPONDANCE/PORT DE LETTES/T.E.L./TELEX
FORMALITES {DOUANE . «DANS eee eRe *

 
  

""Beg Eee aS eT * |

“canals euir Linea anannntn €10 0081597 EinaTreN 2028719701 '
seg tr wrname C10 OOSIS7 202!",,,
03750990.tif,"“LORILLARD |

1200 BAST 42nd STREET

 

ae,
ie

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

ae

 

Bk op 7

oa",,,
